id,genre_id,anime_id
1,38,1
2,13,2
3,38,2
4,13,3
5,3,3
6,38,3
7,24,4
8,38,4
9,40,4
10,33,5
11,13,5
12,40,5
13,39,6
14,38,6
15,40,6
16,8,7
17,10,7
18,13,8
19,38,8
20,13,9
21,24,10
22,38,10
23,40,10
24,33,11
25,38,11
26,40,11
27,26,12
28,2,12
29,24,12
30,38,12
31,40,12
32,2,13
33,38,13
34,40,13
35,16,14
36,24,14
37,38,14
38,40,14
39,11,14
40,33,15
41,16,15
42,24,15
43,38,15
44,40,15
45,33,16
46,10,16
47,24,16
48,38,16
49,33,17
50,10,17
51,38,17
52,40,17
53,10,18
54,16,18
55,24,18
56,38,18
57,40,18
58,11,18
59,16,19
60,24,19
61,38,19
62,40,19
63,26,20
64,39,20
65,33,21
66,39,21
67,16,21
68,36,21
69,38,21
70,40,21
71,13,22
72,38,22
73,40,22
74,13,23
75,26,23
76,24,23
77,19,23
78,38,23
79,40,23
80,33,24
81,24,24
82,30,24
83,38,24
84,40,24
85,2,25
86,40,25
87,30,26
88,37,26
89,38,26
90,40,26
91,31,27
92,26,27
93,39,27
94,31,28
95,39,28
96,22,28
97,26,29
98,7,29
99,16,29
100,38,29
101,40,29
102,33,30
103,13,30
104,24,30
105,37,30
106,24,31
107,38,31
108,40,31
109,18,32
110,37,32
111,40,32
112,37,33
113,38,33
114,40,33
115,13,34
116,13,35
117,26,35
118,38,35
119,2,36
120,38,36
121,40,36
122,10,37
123,24,37
124,38,37
125,40,37
126,13,38
127,39,38
128,24,38
129,38,38
130,26,39
131,38,39
132,38,40
133,40,40
134,24,41
135,37,41
136,40,41
137,33,42
138,10,42
139,15,42
140,19,42
141,37,42
142,40,42
143,13,43
144,24,43
145,38,43
146,40,43
147,28,44
148,24,44
149,19,44
150,38,44
151,40,44
152,10,45
153,24,45
154,38,45
155,33,46
156,10,46
157,30,46
158,40,46
159,33,47
160,13,47
161,8,47
162,32,48
163,13,48
164,39,48
165,38,48
166,8,49
167,24,50
168,38,50
169,40,50
170,13,51
171,39,51
172,24,51
173,38,51
174,2,52
175,24,52
176,38,52
177,40,52
178,38,53
179,40,53
180,13,54
181,26,54
182,39,54
183,5,54
184,21,54
185,17,55
186,29,55
187,33,56
188,19,56
189,36,56
190,28,57
191,10,57
192,29,57
193,40,58
194,38,59
195,40,59
196,33,60
197,13,60
198,39,60
199,29,60
